No,card,credit1,credit2,work,age,sex,90days,14days,CP
1,A,800000,300000,7,61,1,0,63065,1
2,A,1800000,1800000,4,59,1,34137,97397,1
3,A,800000,800000,12,77,1,0,33023,1
4,A,1200000,1200000,8,66,1,69692,41773,1
5,A,1300000,1300000,2,52,0,1280,66524,1
6,A,1300000,300000,7,56,1,84364,5596,1
7,A,700000,700000,1,71,1,14471,6738,1
8,A,800000,300000,5,59,1,0,2223,1
9,A,800000,300000,5,59,1,191596,2223,1
10,A,500000,500000,11,85,1,1702,9900,1
11,A,1300000,1300000,10,66,0,40854,6732,1
12,A,50000,50000,7,58,1,5524,24780,1
13,A,1300000,1300000,2,48,0,16245,180000,1
14,A,1200000,1100000,8,93,0,4722,810,1
15,A,1300000,300000,8,68,1,110409,23959,1
16,A,1300000,300000,1,60,1,89089,55440,1
17,A,700000,300000,7,71,1,12500,4050,1
18,A,1300000,1300000,2,57,0,147199,23955,1
19,A,1300000,1300000,1,76,1,140723,89651,1
20,A,800000,800000,5,70,1,9443,972,1
21,A,1300000,1300000,8,69,0,4491,61878,1
22,A,1300000,800000,4,84,1,191646,40475,1
23,A,800000,800000,2,77,1,7133,48600,1
24,A,800000,300000,11,69,1,4087,1108,1
25,A,800000,800000,1,77,0,236092,3371,1
26,A,700000,700000,8,91,0,24630,7572,1
27,A,800000,300000,8,67,1,580579,11463,1
28,A,1500000,1500000,2,50,1,22357,63385,1
29,A,500000,500000,2,52,1,36841,44532,1
30,A,1300000,1300000,2,53,1,15395,56898,1
31,A,800000,300000,4,71,1,19426,3775,1
32,A,800000,800000,4,75,1,0,11970,1
33,A,1200000,300000,7,75,1,86631,2093,1
34,A,800000,800000,1,62,1,11911,822,1
35,A,800000,300000,4,60,1,37138,22937,1
36,A,800000,800000,2,65,1,6845,37914,1
37,A,600000,300000,7,48,1,39705,1847,1
38,A,1000000,1000000,2,51,1,73600,46075,1
39,A,600000,300000,4,60,1,10665,180000,1
40,A,1100000,300000,4,81,1,48064,6620,1
41,A,1100000,300000,1,49,1,11225,20880,1
42,A,1000000,300000,7,51,1,94211,12546,1
43,A,1300000,300000,7,69,1,65797,14815,1
44,A,700000,300000,7,53,1,0,5360,1
45,A,800000,300000,7,56,1,1663,174932,1
46,B,1300000,1300000,4,61,1,180679,9594,1
47,A,1100000,300000,7,50,1,36445,28935,1
48,A,700000,300000,7,48,1,10096,18854,1
49,A,700000,700000,2,49,1,72222,13950,1
50,A,800000,800000,2,56,1,16425,89081,1
51,A,800000,800000,2,55,1,1175,11851,1
52,A,800000,800000,2,51,1,941,12149,1
53,A,1800000,1700000,2,47,1,139173,40737,1
54,A,1300000,1300000,3,54,1,34668,41241,1
55,A,600000,600000,2,50,1,21277,22781,1
56,A,800000,300000,7,54,1,21400,25128,1
57,A,700000,700000,2,60,1,7076,53903,1
58,A,800000,800000,2,50,1,618,24795,1
59,A,800000,800000,5,56,1,20093,23598,1
60,A,800000,300000,8,80,1,16234,1806,1
61,A,800000,800000,12,63,1,28968,3678,1
62,A,1300000,1300000,8,67,1,1066,12028,1
63,A,800000,300000,8,74,1,2437,2077,1
64,A,800000,300000,8,74,1,32042,2077,1
65,A,800000,800000,7,74,1,22584,3762,1
66,A,500000,300000,7,48,1,14621,12762,1
67,A,1200000,1200000,2,56,1,59067,11330,1
68,A,1300000,1300000,5,63,1,298596,74418,1
69,A,800000,300000,7,46,1,14557,33639,1
70,A,1300000,1300000,4,80,1,126020,17842,1
71,A,800000,300000,2,52,1,0,6159,1
72,A,800000,300000,7,54,1,0,37662,1
73,A,700000,700000,4,58,1,37928,11500,1
74,A,1800000,300000,4,48,1,61476,13841,1
75,A,1200000,1200000,7,60,1,201241,174054,1
76,A,500000,300000,8,68,1,134970,5529,1
77,A,1300000,1300000,2,46,1,29670,26721,1
78,A,800000,300000,3,46,1,575,179618,1
79,A,1500000,300000,7,54,1,146818,61300,1
80,A,800000,800000,2,50,1,4807,40086,1
81,A,700000,700000,2,48,1,64351,30888,1
82,A,800000,800000,2,51,1,35753,22134,1
83,A,1200000,300000,4,46,1,95080,5886,1
84,A,1300000,300000,7,56,1,0,15633,1
85,A,800000,300000,7,48,1,0,150678,1
86,A,800000,700000,2,56,1,69491,34740,1
87,A,1300000,1100000,12,51,1,50583,36347,1
88,A,800000,800000,2,69,0,36026,4109,1
89,A,1300000,1300000,2,47,1,86724,58885,1
90,A,700000,700000,2,54,1,70107,16632,1
91,A,1300000,1300000,2,52,1,49519,9577,1
92,A,1300000,300000,7,45,1,42650,39553,1
93,A,300000,300000,8,85,0,52354,14707,1
94,A,800000,800000,2,49,1,16280,18306,1
95,A,1300000,1300000,3,49,1,50561,9510,1
96,A,1700000,300000,7,45,1,88455,15927,1
97,A,800000,800000,3,50,1,40266,27685,1
98,A,800000,800000,2,54,1,41824,30843,1
99,A,500000,500000,8,87,1,18700,9999,1
100,A,1000000,1000000,2,64,0,4274,4770,1
101,A,1300000,1300000,4,65,1,0,1188,1
102,A,700000,700000,4,62,1,13353,12419,1
103,A,700000,300000,7,45,1,80491,14203,1
104,A,1200000,300000,7,48,1,279801,56929,1
105,A,800000,800000,8,72,1,8086,1737,1
106,A,1800000,300000,7,51,1,28484,33148,1
107,A,800000,300000,7,49,1,2362,6426,1
108,A,1100000,300000,2,45,1,41987,30644,1
109,A,800000,300000,7,53,1,112956,18738,1
110,A,800000,800000,2,47,1,4972,2700,1
111,A,1000000,1000000,2,51,1,7651,22365,1
112,A,800000,800000,2,51,1,35739,5165,1
113,A,800000,600000,2,56,1,6268,5026,1
114,A,800000,300000,4,52,1,30567,10832,1
115,A,300000,0,4,54,1,125172,17208,1
116,A,800000,800000,2,46,1,44311,21751,1
117,A,1300000,1300000,2,44,1,30975,18810,1
118,A,1300000,1300000,2,43,1,101113,39752,1
119,A,1300000,300000,4,73,1,37090,3951,1
120,A,1300000,1300000,5,78,1,16313,69915,1
121,A,600000,600000,4,69,1,29778,39510,1
122,A,700000,700000,8,79,0,5493,6291,1
123,A,800000,800000,2,59,1,14058,69562,1
124,A,500000,500000,8,79,1,15572,1944,1
125,A,800000,800000,2,47,0,8853,5571,1
126,A,800000,800000,4,50,1,45854,65059,1
127,A,800000,300000,7,51,1,0,24206,1
128,A,800000,800000,2,62,1,642794,3933,1
129,A,800000,800000,2,57,1,2691,16434,1
130,A,800000,300000,8,55,1,43241,44408,1
131,A,1000000,1000000,2,57,1,67784,9216,1
132,A,1200000,1200000,4,78,1,103461,18990,1
133,A,800000,800000,2,57,1,56193,35660,1
134,A,200000,200000,2,54,1,67756,10085,1
135,A,700000,700000,4,56,1,191,8478,1
136,A,700000,700000,2,52,0,18375,60084,1
137,A,1200000,1200000,13,84,0,34399,25830,1
138,A,1200000,1200000,4,43,1,92216,107961,1
139,A,700000,300000,7,62,1,34885,12384,1
140,A,1300000,1300000,2,53,1,43016,21825,1
141,A,1300000,1300000,8,71,0,4756,2516,1
142,A,800000,800000,4,47,1,5156,51570,1
143,A,800000,800000,2,44,1,23140,54624,1
144,A,1000000,300000,7,50,1,37886,18405,1
145,A,800000,800000,5,47,1,58278,22514,1
146,A,700000,700000,2,45,1,6210,127206,1
147,A,1300000,300000,7,47,1,86221,38124,1
148,A,700000,300000,7,61,1,12118,22946,1
149,A,800000,300000,11,59,1,43301,30987,1
150,R,700000,700000,2,45,1,37620,161271,1
151,A,800000,300000,7,55,1,5428,33947,1
152,R,1000000,300000,7,47,1,105306,10147,1
153,A,1100000,300000,7,48,1,51683,33811,1
154,A,1200000,300000,4,43,1,32576,17451,1
155,A,800000,800000,2,49,1,49858,25623,1
156,A,800000,800000,2,60,1,32033,41671,1
157,R,600000,600000,4,71,1,36460,8140,1
158,A,1300000,300000,4,77,1,79905,37755,1
159,A,1300000,1300000,2,54,1,102198,42660,1
160,A,1300000,1300000,2,49,1,7380,131347,1
161,A,500000,300000,7,43,1,88380,8019,1
162,A,700000,700000,4,43,1,13027,21723,1
163,A,800000,800000,4,49,1,25117,19827,1
164,A,1300000,1300000,2,62,1,103921,486,1
165,A,1300000,1300000,2,49,0,297029,18272,1
166,A,700000,700000,13,57,1,166705,15291,1
167,A,800000,800000,2,50,1,0,14544,1
168,A,1100000,300000,7,46,1,141662,33553,1
169,B,1300000,1300000,2,61,1,147957,28738,1
170,A,1300000,1300000,1,59,1,19689,117021,1
171,A,800000,300000,4,77,1,2621,5456,1
172,A,1300000,800000,2,54,1,101907,6930,1
173,A,600000,600000,2,49,0,114741,32760,1
174,A,800000,800000,2,45,0,17418,3781,1
175,A,1200000,500000,2,49,1,116338,5256,1
176,A,1300000,1300000,2,50,0,146290,32535,1
177,A,800000,300000,5,45,1,4367,14535,1
178,A,800000,800000,2,58,1,23931,180000,1
179,A,800000,800000,2,48,1,6930,37710,1
180,A,1200000,1200000,2,46,1,328405,86962,1
181,A,1200000,1200000,2,69,1,306042,14085,1
182,A,1500000,1500000,3,54,1,109065,8160,1
183,A,800000,800000,2,46,0,5259,180000,1
184,A,1300000,1300000,4,60,0,23552,10455,1
185,A,1300000,1300000,8,68,1,19082,31680,1
186,A,1300000,1300000,2,49,1,16643,8604,1
187,A,800000,800000,2,52,1,16455,22711,1
188,A,800000,800000,3,55,0,6511,22860,1
189,A,1100000,300000,7,52,1,148208,6337,1
190,A,800000,800000,1,86,0,8015,5378,1
191,A,700000,300000,4,76,1,31790,753,1
192,A,1100000,1100000,3,56,1,111356,32142,1
193,A,600000,600000,13,74,1,18877,13950,1
194,A,1300000,1300000,2,51,1,96431,103766,1
195,A,1300000,1300000,4,51,1,104650,30231,1
196,A,800000,800000,2,59,0,7995,7230,1
197,A,800000,800000,2,66,1,30352,180000,1
198,A,1300000,1300000,2,50,1,44046,25698,1
199,A,800000,800000,2,48,0,32246,88578,1
200,A,600000,600000,8,78,0,34299,10044,1
201,A,1300000,1300000,1,62,0,3135,58896,1
202,A,800000,800000,2,52,0,0,43470,1
203,A,800000,800000,2,54,0,26037,55940,1
204,A,1300000,1300000,7,71,0,2128,14822,1
205,A,800000,300000,7,48,1,7749,17255,1
206,A,1300000,1300000,2,58,0,10079,4816,1
207,A,1500000,1500000,2,48,0,24174,59490,1
208,A,1300000,1300000,1,66,1,21293,22055,1
209,A,800000,600000,4,72,1,1159,31338,1
210,A,800000,800000,2,43,0,23594,34572,1
211,A,800000,800000,2,59,0,7835,5820,1
212,A,800000,800000,8,68,0,23785,35262,1
213,A,800000,800000,8,75,1,23959,15381,1
214,A,1300000,300000,7,70,1,76516,62073,1
215,A,1100000,1100000,4,56,1,687801,2510,1
216,A,800000,800000,4,58,1,911,32599,1
217,A,700000,700000,11,79,0,0,12792,1
218,A,800000,800000,5,71,1,1609,23795,1
219,A,1200000,1200000,8,82,0,113977,4841,1
220,A,700000,700000,2,44,1,19489,105674,1
221,A,700000,700000,8,83,1,6149,3860,1
