No,card,credit1,credit2,work,age,sex,90days,14days,CP
1,A,1000000,1000000,3,61,1,27525,5633,1
2,A,1000000,300000,8,81,1,47927,14994,1
3,A,1000000,1000000,1,69,0,5216,10800,1
4,A,500000,500000,7,62,1,143892,26820,1
5,A,1000000,1000000,8,96,1,,7173,1
6,A,700000,700000,8,86,0,26082,10665,1
7,A,1000000,1000000,2,57,0,129315,40446,1
8,B,1000000,700000,7,63,1,,26730,1
9,A,600000,300000,4,63,1,101315,2466,1
10,A,700000,700000,2,47,0,318380,138600,1
11,A,1000000,300000,8,69,1,53574,6228,1
12,A,700000,700000,2,50,1,33110,63846,1
13,A,500000,500000,5,69,0,15347,16666,1
14,A,1000000,1000000,2,61,1,,62370,1
15,A,1000000,300000,4,64,1,138788,74596,1
16,A,700000,600000,8,76,0,38658,10456,1
17,A,1000000,1000000,1,65,0,89810,37661,1
18,A,500000,500000,8,86,0,9172,1530,1
19,A,1000000,1000000,1,73,0,31660,51697,1
20,A,600000,600000,7,76,1,16940,18367,1
21,A,1000000,1000000,2,58,0,175270,2049,1
22,A,1000000,1000000,8,76,0,1511,2151,1
23,A,700000,300000,7,70,1,14800,27358,1
24,A,600000,600000,8,80,1,63076,7104,1
25,A,600000,600000,5,61,0,21414,61470,1
26,A,700000,700000,8,82,0,4065,2259,1
27,A,1000000,1000000,8,77,0,25228,6117,1
28,A,1000000,300000,4,65,1,68302,49500,1
29,A,1000000,1000000,12,75,0,8642,3227,1
30,A,1000000,1000000,2,53,1,0,63017,1
31,A,1000000,1000000,2,54,1,7048,2198,1
32,A,1000000,1000000,2,55,1,0,49338,1
33,A,700000,700000,2,58,1,809,25085,1
34,A,1000000,300000,7,55,1,28968,2707,1
35,A,700000,500000,8,80,1,6218,62335,1
36,A,1000000,300000,2,58,1,22561,4948,1
37,A,400000,400000,8,85,1,9852,19890,1
38,A,600000,300000,8,78,1,4278,933,1
39,A,1000000,1000000,2,61,1,30034,19764,1
40,A,1000000,800000,7,57,1,11211,43263,1
41,A,700000,300000,7,57,1,22990,25740,1
42,A,1000000,1000000,2,54,1,151554,40065,1
43,A,700000,700000,4,48,1,17654,112950,1
44,A,1000000,1000000,1,57,0,2188,86495,1
45,A,1000000,1000000,2,53,1,0,19512,1
46,A,700000,700000,2,52,1,8597,7452,1
47,A,700000,300000,4,51,1,85983,39981,1
48,A,1000000,300000,7,51,1,192836,16765,1
49,A,1000000,300000,8,76,1,157566,35834,1
50,A,1000000,1000000,2,66,1,5026,51570,1
51,A,700000,700000,8,72,0,33689,8874,1
52,A,1000000,1000000,7,64,1,48000,19508,1
53,A,1000000,1000000,2,45,1,33431,64350,1
54,A,1000000,300000,7,51,1,21167,13934,1
55,A,1000000,1000000,2,59,1,6479,11970,1
56,A,600000,300000,7,56,1,78526,38085,1
57,A,1000000,1000000,7,48,1,3896,36585,1
58,A,1000000,1000000,4,54,1,4162,22860,1
59,A,1000000,300000,7,46,1,19391,24015,1
60,A,1000000,1000000,2,62,0,2356,1436,1
61,A,1000000,1000000,2,60,1,12885,693,1
62,A,700000,700000,2,59,1,0,53820,1
63,A,1000000,1000000,2,53,1,158856,55314,1
64,A,700000,300000,7,52,1,46994,10790,1
65,A,500000,500000,2,48,1,27704,24674,1
66,A,1000000,300000,7,54,1,1474,26169,1
67,A,1000000,1000000,4,54,1,24505,31890,1
68,A,500000,500000,2,56,1,77104,8853,1
69,A,400000,400000,2,53,1,25000,61470,1
70,A,400000,400000,2,50,0,184333,49349,1
71,A,400000,300000,8,68,1,0,19538,1
72,A,400000,300000,8,68,1,35922,19538,1
73,A,1000000,300000,7,61,1,34416,45210,1
74,A,1000000,800000,2,57,1,20483,48375,1
75,A,1000000,900000,2,51,1,18681,16920,1
76,A,700000,700000,7,66,1,38720,8319,1
77,A,1000000,300000,7,51,1,49526,14850,1
78,A,1000000,300000,7,54,1,30500,1618,1
79,A,1000000,300000,1,48,1,0,25137,1
80,A,1000000,500000,4,58,1,15120,23825,1
81,A,1000000,1000000,2,50,1,92594,9560,1
82,A,400000,300000,12,65,1,130207,18405,1
83,A,700000,300000,7,65,1,68664,28079,1
84,A,1000000,1000000,3,54,1,1600,10253,1
85,A,500000,300000,4,73,1,7635,1286,1
86,A,600000,600000,8,85,0,40106,7350,1
87,A,1000000,1000000,2,56,1,53226,13983,1
88,A,500000,300000,4,70,1,0,14951,1
89,A,600000,500000,5,47,1,6234,4950,1
90,A,600000,600000,4,52,1,128280,49672,1
91,A,1500000,1500000,12,63,1,9405,5382,1
92,B,1000000,300000,4,64,1,6793,6905,1
93,A,700000,700000,1,56,1,3417,5257,1
94,A,1000000,300000,7,52,1,96722,36317,1
95,A,1000000,300000,8,82,1,32506,30323,1
96,A,600000,600000,5,53,1,99773,217998,1
97,A,1000000,1000000,4,59,1,0,8081,1
98,A,1000000,300000,8,76,1,134370,3423,1
99,A,600000,600000,8,74,1,22770,14543,1
100,A,1000000,800000,12,51,1,76379,12625,1
101,A,1000000,1000000,4,56,1,20786,48196,1
102,A,600000,500000,2,46,1,203449,7610,1
103,A,1000000,1000000,4,53,1,317247,35355,1
104,A,600000,300000,7,78,1,13337,80784,1
105,A,500000,500000,4,47,1,101468,5454,1
106,A,1000000,300000,7,56,1,0,13455,1
107,A,1000000,1000000,8,65,0,64301,8265,1
108,A,400000,300000,7,57,1,16604,20259,1
109,A,1000000,300000,4,57,1,84570,34461,1
110,A,1000000,300000,4,58,1,15599,15030,1
111,A,1000000,300000,4,70,1,524,16062,1
112,A,1000000,1000000,2,46,1,1549,96615,1
113,A,1000000,1000000,2,58,1,32309,11259,1
114,A,1000000,300000,7,58,1,3325,33983,1
115,B,1000000,300000,4,67,1,18889,140333,1
116,A,700000,700000,3,48,1,0,25434,1
117,A,1000000,1000000,4,53,1,36190,9459,1
118,A,700000,400000,2,48,1,7356,53640,1
119,A,1000000,1000000,4,54,1,163759,9928,1
120,A,1000000,1000000,7,53,1,2092,452,1
121,A,1000000,300000,7,55,1,16149,35640,1
122,A,1000000,300000,4,75,1,8192,2628,1
123,A,300000,300000,2,61,1,230352,104449,1
124,A,700000,700000,2,43,1,18288,61380,1
125,A,600000,300000,7,65,1,107730,83586,1
126,A,1000000,1000000,2,50,1,59526,19095,1
127,A,700000,700000,2,46,1,409171,82593,1
128,A,1000000,300000,7,50,1,3819,1782,1
129,A,1000000,1000000,2,59,1,22781,2880,1
130,A,1000000,300000,7,47,1,3592,19248,1
131,A,1000000,1000000,3,63,1,411157,6446,1
132,A,700000,300000,4,78,1,19077,43263,1
133,A,400000,300000,7,49,1,74079,5979,1
134,A,700000,300000,5,45,1,0,56520,1
135,A,1000000,900000,7,46,1,11464,37710,1
136,A,600000,500000,5,44,1,69563,64647,1
137,A,1000000,1000000,12,56,1,103699,68065,1
138,A,700000,700000,2,52,1,1178,130680,1
139,A,1000000,1000000,2,61,1,16562,15983,1
140,A,1000000,1000000,2,62,0,31662,6215,1
141,A,600000,600000,1,46,0,0,43650,1
142,A,1000000,1000000,2,45,1,79323,10403,1
143,A,1000000,1000000,7,49,1,0,16002,1
144,A,700000,700000,7,46,0,13492,47268,1
145,A,1000000,1000000,2,53,1,75165,13860,1
146,A,700000,300000,12,55,1,29809,20182,1
147,A,700000,300000,4,51,1,57340,58941,1
148,R,1000000,300000,4,61,1,36952,52744,1
149,A,700000,700000,2,51,1,0,28710,1
150,A,1000000,1000000,2,50,1,3800,61182,1
151,A,1000000,1000000,4,45,1,0,141515,1
152,A,1000000,600000,12,42,1,22944,34905,1
153,A,1000000,1000000,2,52,0,113980,5110,1
154,A,1000000,1000000,2,52,0,32302,5110,1
155,B,1000000,300000,7,52,1,22640,32933,1
156,A,1000000,1000000,2,59,1,297599,12035,1
157,A,600000,600000,13,77,1,3567,11835,1
158,A,1000000,1000000,2,45,1,8091,11583,1
159,A,1000000,300000,7,49,1,3249,4510,1
160,A,700000,700000,2,47,1,34260,46305,1
161,A,1000000,300000,7,61,1,524,169380,1
162,A,600000,600000,4,73,1,13034,5793,1
163,A,700000,300000,7,48,1,37194,209880,1
164,A,1000000,1000000,4,48,1,37774,19638,1
165,A,1000000,300000,7,71,1,10096,2387,1
166,A,1000000,300000,7,52,1,39211,32067,1
167,A,400000,300000,7,61,1,151667,0,1
168,A,500000,500000,2,49,1,0,23677,1
169,A,1000000,1000000,4,76,1,98713,886,1
170,A,1000000,1000000,4,62,1,37193,91170,1
171,A,1000000,1000000,3,56,1,0,33309,1
172,A,1000000,1000000,4,56,1,0,21573,1
173,A,1000000,1000000,2,61,1,35659,70769,1
174,A,1000000,1000000,13,85,1,458,288,1
175,A,1000000,300000,7,57,1,22635,18905,1
176,A,700000,700000,5,80,1,60206,2934,1
177,A,600000,600000,4,71,1,43655,71399,1
178,A,1000000,1000000,3,50,1,0,3159,1
179,A,1000000,1000000,2,56,0,49600,3060,1
180,A,1000000,300000,5,65,1,11894,52566,1
181,A,700000,700000,5,45,1,17005,83160,1
182,A,1000000,1000000,4,52,1,42019,55440,1
183,A,1000000,300000,8,82,1,23210,39599,1
184,A,700000,300000,7,51,1,25080,47766,1
185,A,500000,300000,7,48,1,2644,58860,1
186,A,1000000,1000000,2,52,1,82231,78957,1
187,A,1000000,1000000,4,48,1,299651,78404,1
188,A,600000,600000,7,50,1,7584,4257,1
189,A,700000,700000,2,44,1,21878,22860,1
190,A,700000,700000,4,48,1,60769,3465,1
