No,card,credit1,credit2,work,age,sex,90days,14days,CP
1,R,800000,600000,8,89,1,527314,66734,1
2,R,700000,700000,2,53,1,9453,24498,1
3,R,1000000,300000,8,72,0,1840,17893,1
4,R,700000,700000,2,54,1,875272,30759,1
5,B,400000,400000,2,55,1,,120232,1
6,R,1000000,1000000,2,52,0,33079,30843,1
7,R,1000000,1000000,5,70,0,4166,1476,1
8,R,1000000,1000000,2,55,1,3776,8604,1
9,R,1000000,1000000,8,76,1,8300,12069,1
10,R,200000,200000,8,76,1,56993,13199,1
11,R,1000000,1000000,2,56,0,0,86229,1
12,R,1000000,1000000,2,54,0,491915,11234,1
13,R,500000,500000,5,77,1,57213,8554,1
14,R,1000000,1000000,2,66,0,71845,25228,1
15,R,1000000,1000000,2,55,0,24558,27810,1
16,R,1000000,1000000,1,62,1,0,9099,1
17,R,1000000,300000,8,90,1,58332,6719,1
18,R,600000,600000,2,58,0,13585,32364,1
19,R,500000,500000,1,77,1,63780,62161,1
20,R,1000000,1000000,2,63,0,4380,45630,1
21,R,1000000,1000000,2,58,0,13793,9900,1
22,R,1000000,1000000,8,68,0,39955,6519,1
23,R,700000,700000,8,70,0,87803,17193,1
24,R,1000000,1000000,2,57,1,889,10997,1
25,R,1500000,1500000,1,65,0,80090,73944,1
26,R,1000000,1000000,2,58,1,43331,1512,1
27,R,700000,300000,7,57,1,112711,25227,1
28,R,1000000,1000000,2,51,1,210111,78850,1
29,R,1000000,1000000,1,71,0,52418,46859,1
30,R,1000000,1000000,4,61,1,4651,46530,1
31,R,700000,700000,2,52,1,,18421,1
32,R,1000000,1000000,2,62,1,4943,169500,1
33,R,600000,600000,2,58,1,97886,19890,1
34,R,600000,300000,7,53,1,11725,180000,1
35,R,1000000,300000,7,67,1,24288,18208,1
36,R,700000,700000,2,54,1,34949,34740,1
37,R,1000000,1000000,2,50,0,2498,14085,1
38,R,1000000,1000000,2,61,1,14281,30285,1
39,R,600000,600000,8,68,1,202762,42728,1
40,R,700000,700000,4,49,1,7971,37547,1
41,R,1000000,300000,11,58,1,2178,8161,1
42,B,400000,400000,12,51,1,88384,60480,1
43,R,1000000,300000,5,71,1,11804,14850,1
44,R,400000,400000,2,50,1,153590,47520,1
45,R,1000000,300000,2,45,1,58717,3483,1
46,R,700000,300000,7,57,1,25012,14963,1
47,R,1000000,300000,3,47,1,200825,11970,1
48,R,1000000,300000,4,62,1,17599,15642,1
49,R,1000000,1000000,3,49,1,3240,22435,1
50,R,1000000,1000000,2,53,1,128315,7326,1
51,R,1000000,500000,8,70,1,19532,9108,1
52,R,700000,300000,7,54,1,24308,15126,1
53,R,1000000,1000000,2,54,1,750289,2448,1
54,R,600000,600000,2,60,1,182827,1209,1
55,R,1000000,1000000,2,53,1,,9891,1
56,R,1000000,1000000,2,52,1,5176,27612,1
57,R,1000000,1000000,2,47,1,118222,21830,1
58,R,700000,700000,1,60,1,40212,32175,1
59,R,700000,300000,7,59,1,,40941,1
60,R,1000000,300000,11,57,1,2185,7920,1
61,R,1000000,1000000,2,46,1,92788,34119,1
62,R,700000,700000,2,53,1,29874,17433,1
63,R,1000000,1000000,2,59,1,19048,14073,1
64,R,700000,300000,7,51,1,72535,34990,1
65,R,200000,200000,7,58,1,94090,12633,1
66,R,1000000,1000000,2,47,1,157886,10830,1
67,A,1000000,1000000,8,85,1,72685,13860,1
68,R,1000000,300000,2,60,1,2347,7231,1
69,R,1000000,1000000,2,53,0,0,41382,1
70,B,1000000,1000000,2,54,1,3240,2413,1
71,R,1200000,1200000,2,51,1,25223,5674,1
72,A,1000000,300000,4,45,1,72354,27631,1
73,R,1000000,1000000,2,68,0,17626,7585,1
74,A,1000000,1000000,5,48,1,21800,55804,1
75,R,1000000,1000000,2,44,1,490095,131589,1
76,R,1000000,300000,8,75,1,63435,28717,1
77,R,1000000,1000000,7,51,1,24978,10346,1
78,R,700000,700000,8,56,1,4505,17589,1
79,R,1000000,1000000,2,55,1,59737,12506,1
80,R,1000000,1000000,2,55,1,19584,57723,1
81,R,1000000,1000000,2,50,1,34215,83518,1
82,R,1000000,600000,7,66,1,19467,8363,1
83,R,1000000,1000000,2,59,1,13051,12380,1
84,R,700000,300000,11,65,1,0,46395,1
85,R,1000000,900000,2,55,1,3016,14058,1
86,R,1000000,1000000,2,55,1,6672,20434,1
87,R,600000,600000,12,58,1,1200,8397,1
88,R,1000000,1000000,2,47,1,144028,37581,1
89,R,600000,600000,8,72,1,175456,112662,1
90,R,700000,700000,2,46,1,44299,43650,1
91,R,1000000,1000000,2,58,1,35984,29205,1
92,R,700000,700000,2,62,0,1911,32490,1
93,R,1000000,1000000,2,51,1,80843,54540,1
94,R,1000000,1000000,2,44,1,19657,34965,1
95,R,1000000,1000000,8,65,1,42785,1973,1
96,R,1000000,300000,4,47,1,32542,66921,1
97,R,1500000,300000,8,65,1,158992,46735,1
98,R,700000,300000,7,52,1,71883,43143,1
99,R,500000,300000,7,48,1,46644,80056,1
100,R,1000000,1000000,2,51,1,4600,18783,1
101,R,1000000,300000,4,60,1,19098,7893,1
102,R,1000000,300000,7,74,1,14666,1036,1
103,R,1000000,1000000,2,48,1,394666,106728,1
104,R,1000000,300000,4,46,1,12677,3868,1
105,R,600000,300000,13,50,1,3803,12474,1
106,R,700000,700000,8,74,1,,25542,1
107,R,1000000,1000000,2,56,0,125158,49630,1
108,R,700000,700000,5,67,1,24501,28029,1
109,R,1000000,1000000,2,53,1,484727,92475,1
110,R,200000,200000,2,49,1,0,33315,1
111,R,600000,600000,7,66,1,408589,9873,1
112,R,1000000,1000000,5,53,1,52357,13158,1
113,R,1000000,1000000,10,45,1,138893,6435,1
114,R,1000000,300000,4,53,1,0,2841,1
115,R,200000,200000,8,79,1,101426,9660,1
116,R,1000000,1000000,7,44,1,67020,3681,1
117,R,600000,600000,7,50,1,51791,51273,1
118,R,700000,700000,2,47,1,79545,6422,1
119,R,1000000,300000,4,69,1,65861,6040,1
120,R,700000,700000,2,49,0,375064,10845,1
121,R,700000,700000,4,51,1,25631,70821,1
122,B,1000000,1000000,2,49,1,24250,20832,1
123,R,1000000,1000000,4,58,1,287690,78669,1
124,R,1000000,300000,4,58,1,,6776,1
125,R,500000,500000,1,48,1,47787,3348,1
126,R,700000,700000,4,68,1,119695,23077,1
127,R,1000000,1000000,2,52,1,46842,38087,1
128,R,1000000,300000,7,60,1,13396,2133,1
129,R,1000000,1000000,4,45,1,71255,24761,1
130,R,1000000,300000,7,49,1,7373,16623,1
131,A,1000000,1000000,5,65,1,0,74800,1
132,R,700000,700000,4,46,1,5244,263934,1
133,R,1000000,300000,8,63,1,5699,6808,1
134,R,1000000,1000000,2,43,1,381473,183312,1
135,R,1000000,1000000,2,50,1,884,180000,1
136,R,700000,700000,13,42,1,6540,28126,1
137,R,1000000,300000,7,47,1,39978,2850,1
138,R,600000,600000,8,81,1,6318,26325,1
139,R,1000000,1000000,2,62,1,11590,3467,1
140,R,1000000,1000000,4,57,1,61884,33999,1
141,R,1000000,300000,8,87,1,15845,3529,1
142,R,1000000,300000,8,87,1,0,3529,1
143,R,1000000,300000,8,87,1,,3529,1
144,R,1000000,300000,8,87,1,,3529,1
145,R,1000000,300000,4,68,1,29294,55026,1
146,R,700000,700000,4,45,1,36086,4932,1
147,R,1000000,900000,12,49,1,40934,3964,1
148,R,1000000,1000000,2,55,1,45336,19692,1
149,R,1000000,1000000,3,66,1,10047,45432,1
150,R,1000000,1000000,2,45,0,15153,26766,1
151,R,600000,300000,4,51,1,12575,174822,1
152,A,400000,400000,8,79,1,35739,3975,1
153,R,1000000,300000,7,43,1,93767,46457,1
154,R,700000,300000,7,43,1,1455,14742,1
155,R,1000000,1000000,2,58,1,45210,40572,1
156,R,400000,300000,4,53,1,102465,46620,1
157,R,1000000,300000,8,72,1,17144,7699,1
158,R,600000,300000,8,89,1,215283,3643,1
159,A,600000,300000,8,75,1,16679,3948,1
160,R,1000000,1000000,2,56,0,9840,8075,1
161,R,1000000,1000000,2,46,0,,49536,1
162,R,1000000,300000,4,69,1,10911,6284,1
163,R,700000,300000,4,73,1,8319,2127,1
164,R,1000000,800000,7,65,1,11411,3386,1
165,R,1000000,1000000,2,46,1,242594,27054,1
166,R,600000,600000,4,62,1,174069,26541,1
167,R,1000000,700000,8,70,1,29668,50724,1
168,R,1000000,300000,7,63,1,160505,8010,1
169,R,1000000,300000,7,57,1,117650,19800,1
170,R,500000,500000,1,60,0,276620,819,1
171,R,1000000,1000000,10,48,0,65042,9990,1
172,R,1000000,300000,7,56,1,242464,486,1
173,A,1200000,1200000,4,46,1,44986,66233,1
174,R,1000000,300000,7,47,1,24657,6822,1
175,R,700000,700000,2,44,1,90547,22653,1
176,R,1000000,300000,4,44,1,81774,110138,1
177,R,1500000,1500000,2,40,0,,26087,1
178,B,400000,400000,4,46,1,35781,46808,1
179,R,1000000,300000,7,56,1,23489,10980,1
180,R,500000,300000,7,41,1,42073,9792,1
181,R,700000,700000,2,47,1,33984,3603,1
182,R,1000000,1000000,2,52,1,38420,5788,1
183,R,1000000,1000000,2,52,1,302421,75765,1
184,R,1000000,1000000,2,65,1,46075,13464,1
185,R,1000000,1000000,2,46,1,331512,180000,1
186,R,1000000,700000,2,54,1,6204,18794,1
187,R,700000,700000,2,49,1,41425,76088,1
188,R,1000000,300000,7,56,1,1691,39203,1
189,R,1000000,1000000,5,45,1,92859,42403,1
190,R,1000000,1000000,4,72,1,6907,19831,1
191,R,600000,300000,7,45,1,128788,156681,1
192,R,700000,700000,4,55,1,29482,5534,1
193,R,1000000,1000000,3,58,1,31740,19800,1
194,R,1000000,1000000,2,50,1,7194,7020,1
195,R,1000000,1000000,2,58,0,94209,51570,1
196,R,1000000,300000,4,67,1,18657,0,1
197,R,1000000,500000,7,47,1,10506,18850,1
198,R,1000000,1000000,4,69,1,47817,4266,1
199,R,600000,600000,2,44,1,171986,26974,1
200,R,600000,600000,2,51,1,15696,67770,1
201,R,1000000,1000000,7,48,1,30210,20001,1
202,R,1000000,300000,4,51,1,16106,180000,1
